des	model	mse	mae	val	params	config
r1_gtr	gtr	0.3804	0.3980	0.6912	30298	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r1_cvjepa_ai	cvjepa	0.3821	0.4060	0.6982	369931	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=0,resscale=0.3,ep=10
r1_cvjepa_human	cvjepa	0.3821	0.4060	0.6982	369931	cm_video=lag,render=human,lagw=48,K=10,jepa=0.0,linres=0,cycle=0,resscale=0.3,ep=10
r1_fused_des	fused	0.3800	0.4043	0.6946	370099	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r1_fused_boost	fused	0.4107	0.4398	0.8095	400230	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r2_cycleonly	fused	1.0061	0.7504	1.3944	370099	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r2_lagw96	fused	0.3819	0.4043	0.6825	373171	cm_video=lag,render=ai,lagw=96,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r2_base	fused	0.3800	0.4043	0.6946	370099	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r2_k16	fused	0.3800	0.4019	0.7006	482425	cm_video=lag,render=ai,lagw=48,K=16,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r2_el3	fused	0.3848	0.4075	0.7021	420083	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r2_dm128	fused	0.3789	0.4026	0.7041	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r3_dff512	fused	0.3853	0.4041	0.7036	1312499	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r3_lagw32	fused	0.3908	0.4087	0.7173	1113075	cm_video=lag,render=ai,lagw=32,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r3_dm192	fused	0.3854	0.4046	0.6994	2236979	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r3_lagw24	fused	0.3919	0.4088	0.7303	1112051	cm_video=lag,render=ai,lagw=24,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r3_k20	fused	0.3861	0.4041	0.7035	1734333	cm_video=lag,render=ai,lagw=48,K=20,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r3_dm256	fused	0.3821	0.4065	0.7020	3735667	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
r4_lr5e4	fused	0.3825	0.4032	0.7010	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=20
r4_lr1e3	fused	0.3812	0.4019	0.7073	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=20
r4_dm96	fused	0.3815	0.4033	0.6997	695507	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=20
r4_ep20	fused	0.3789	0.4026	0.7041	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=20
r4_sl336	fused	0.3969	0.4160	0.6948	1176563	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=20
smoke_tri3	cvjepa	0.5260	0.4843	0.8578	1146571	cm_video=tri3,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=0,resscale=0.3,ep=2
smoke_fused_tri3	fused	0.5227	0.4809	0.8566	1146739	cm_video=tri3,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=2
p5_fused_base	fused	0.3789	0.4026	0.7041	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
p5_cvjepa_tri3	cvjepa	0.4010	0.4224	0.7295	1146571	cm_video=tri3,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=0,resscale=0.3,ep=10
p5_fused_tri3	fused	0.3971	0.4182	0.7161	1146739	cm_video=tri3,render=ai,lagw=48,K=10,jepa=0.0,linres=0,cycle=24,resscale=0.3,ep=10
p5_fused_jepa01	fused	0.3788	0.4036	0.6958	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=0.1,linres=0,cycle=24,resscale=0.3,ep=10
p5_fused_jepaAnneal	fused	0.3798	0.4027	0.6942	1115123	cm_video=lag,render=ai,lagw=48,K=10,jepa=1.0,linres=0,cycle=24,resscale=0.3,ep=10
